Nadgrupa,Brand,Naziv artikla,Popust
Mobiteli,Honor,Mobitel  HONOR X7d 8GB/256GB LTE Meteor Silver,10%
Mobiteli,Honor,Mobitel  HONOR X7d 8GB/256GB LTE Velvet Black,10%
Tableti,Apple,"Tablet Apple 11"" iPad (A16) Wi-Fi 128GB - Yellow",5%
Tableti,Apple,"Tablet Apple 11"" iPad (A16) Wi-Fi 128GB - Silver",5%
Tableti,Apple,"Tablet Apple 11"" iPad (A16) Wi-Fi 128GB - Pink",5%
Tableti,Apple,"Tablet Apple 11"" iPad (A16) Wi-Fi 128GB - Blue",5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 White 41mm (Konsu-B19L),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Purple 41mm (Konsu-B19FC),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Milanese 41mm (Konsu-B19M),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Green 46mm (Atum-B19W),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Black 46mm (Atum-B19F),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Pro Brown 46mm (Atum-B29W),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Pro Black 46mm (Atum-B29F),5%
Pametni satovi,Huawei,Pametni sat Huawei Watch GT6 Pro Titanium 46mm (Atum-B29M),5%
Mobiteli,Samsung,Mobitel Samsung Galaxy A37 5G 6GB/128GB dual SIM tamno zeleni SM-A376B,10%
Mobiteli,Samsung,Mobitel Samsung Galaxy A37 5G 6GB/128GB dual SIM ljubičasti SM-A376B,10%
Mobiteli,Samsung,Mobitel Samsung Galaxy A37 5G 6GB/128GB dual SIM sivi SM-A376B,10%
Mobiteli,Samsung,Mobitel Samsung Galaxy A37 5G 8GB/256GB dual SIM sivi SM-A376B,10%
,NUTRIBULLET,cijeli asortiman,10%
,DELONGHI,cijeli asortiman,10%
,DYSON,cijeli asortiman,10%
,HUROM,cijeli asortiman,10%
,REMINGTON,"Mini epilator za lice Remington WFS200E51 2u1, BareMe™",20%
,REMINGTON,Pegla za kosu + sušilo Remington 2u1 AS8930E51 AIRvive™ Air Styler,20%
,REMINGTON,Pegla za kosu Remington S8930E51 AIRvive™,20%
,REMINGTON,Sušilo za kosu Remington EC8930E51 AIRvive™,20%
,REMINGTON,Uvijač za kosu Remington CI8930E51 AIRvive™,20%
Glačanje i šivanje,Russell Hobbs,"Glačalo Russell Hobbs 28630-56 Blue, Powersteam Ultra Pro",20%
Priprema pića,Russell Hobbs,Kuhalo za vodu Russell Hobbs 28640-70 Hanley Jasmine,20%
Priprema pića,Russell Hobbs,Kuhalo za vodu Russell Hobbs 28641-70 Hanley Blue,20%
Glačanje i šivanje,Russell Hobbs,"Osvježivač odjeće Russell Hobbs 27600-56 Blue, Steam Genie Maestro, 2u1",20%
Glačanje i šivanje,Russell Hobbs,"Osvježivač odjeće Russell Hobbs 28550-56 Blue, Steam Genie VacuSteam",20%
Priprema hrane,Russell Hobbs,Toster Russell Hobbs 26930-56 Colours Plus Jasmine,20%
Priprema hrane,Russell Hobbs,Toster Russell Hobbs 26931-56 Colours Plus Mocha,20%
Priprema hrane,Russell Hobbs,Toster Russell Hobbs 28650-56 Hanley Jasmine,20%
Priprema hrane,Russell Hobbs,Toster Russell Hobbs 28651-56 Hanley Blue,20%
Usisavači i čistači,Russell Hobbs,Uređaj za uklanjanje vlakana Russell Hobbs 27660-56 Blue,20%
,Krups,dodano 13.05. - svi aparati za espresso kavu,20%
,Philips,asortiman iz poslovnice,20%
,Hisense,asortiman iz poslovnice,15%
,Samsung,asortiman iz poslovnice,20%
,TCL,asortiman iz poslovnice,10%
,TCL,"TV TCL 55C6K, 139.7cm (55""), QD-Mini LED, 4K UHD SMART TV, GOOGLE TV",25%
,JBL,Charge 6,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 bijeli,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 crni,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 crveni,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 ljubičasti,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 maskirni,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 plavi,10%
,JBL,Zvučnik prijenosni bluetooth JBL CHARGE 6 rozi,10%
,Sony,Zvučnik prijenosni Bluetooth Sony ULT FIELD 3 SRS-ULT30/B,10%
,Sony,Zvučnik prijenosni Bluetooth Sony ULT FIELD 3 SRS-ULT30/H,10%
,Sony,Zvučnik prijenosni Bluetooth Sony ULT FIELD 3 SRS-ULT30/W,10%
,Sony,Zvučnik prijenosni Bluetooth Sony SRS-XB100/B,10%
,Sony,Zvučnik prijenosni Bluetooth Sony SRS-XB100/D,10%
,Sony,Zvučnik prijenosni Bluetooth Sony SRS-XB100/H,10%
,Sony,Zvučnik prijenosni Bluetooth Sony SRS-XB100/L,10%
,Sony,Slušalice Sony bežične s funkcijom blokade buke WF-1000XM5/B,15%
,Sony,Slušalice Sony bežične s funkcijom blokade buke WF-1000XM5/P,15%
,Sony,Slušalice Sony bežične s funkcijom blokade buke WF-1000XM5/S,15%
,Sony,Slušalice Sony potpuno bežične WF-C710N/B,15%
,Sony,Slušalice Sony potpuno bežične WF-C710N/L,15%
,Sony,Slušalice Sony potpuno bežične WF-C710N/P,15%
,Sony,Slušalice Sony potpuno bežične WF-C710N/W,15%
,Sony,Sony LinkBuds Fit potpuno bežične slušalice za blokadu buke - Crne WFLS910NB,15%
,Sony,Sony LinkBuds Fit potpuno bežične slušalice za blokadu buke - Zelene WFLS910NG,15%
,Sony,Sony LinkBuds Fit potpuno bežične slušalice za blokadu buke - WFLS910NP,15%
,Sony,Sony LinkBuds Fit potpuno bežične slušalice za blokadu buke - Bijele WFLS910NW,15%
,Sony,"TV SONY K43S35BP.CEI, 109.2cm (43""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K50S35B.CEI, 127cm (50""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K55S35B.CEI, 139.7cm (55""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K65S35B.CEI, 165.1cm (65""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K75S35B.CEI, 190.5cm (75""), Direct LED, 4K UHD SMART TV, Android TV",15%
,Sony,"TV SONY K85S35BP.CEI, 215.9cm (85""), Direct LED, 4K UHD SMART TV, Android TV",15%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix G16, G615LW-S5031W, 40.6cm (16"") 2.5K WQXGA 240 Hz, Intel Core Ultra 9 275HX, 32 GB RAM, 2 TB SSD, nVidia RTX 5080 16GB, W11H",10%
Računala i monitori,ASUS,"Laptop ASUS ROG Strix SCAR 16, G635LX-RW103X, 40.6cm (16"") MiniLED 2.5K 240Hz, Intel Ultra 9 275HX, 64 GB RAM, 2 TB SSD, nVidia RTX 5090 24GB, W11P",10%
